date,bitcoin
2020-02-21,1775
2020-02-22,1501
2020-02-23,1538
2020-02-24,1778
2020-02-25,1768
2020-02-26,1934
2020-02-27,1921
2020-02-28,81
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,546
2020-03-07,479
2020-03-08,522
2020-03-09,879
2020-03-10,704
2020-03-11,606
2020-03-12,1203
2020-03-13,100
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,672
2020-03-18,1843
2020-03-19,1972
2020-03-20,2188
2020-03-21,1807
2020-03-22,1613
2020-03-23,1690
2020-03-24,1741
2020-03-25,1569
2020-03-26,1463
2020-03-27,1810
2020-03-28,1806
2020-03-29,1757
2020-03-30,1776
2020-03-31,1620
2020-04-01,1618
2020-04-02,1840
2020-04-03,2012
2020-04-04,1776
2020-04-05,1738
2020-04-06,2032
2020-04-07,2085
2020-04-08,1931
2020-04-09,1868
2020-04-10,2162
2020-04-11,1882
2020-04-12,1868
2020-04-13,2001
2020-04-14,1892
2020-04-15,1886
2020-04-16,1987
2020-04-17,1896
2020-04-18,1771
2020-04-19,1716
2020-04-20,1759
2020-04-21,1782
2020-04-22,1710
2020-04-23,1909
2020-04-24,1130
2020-04-25,1020
2020-04-26,1037
2020-04-27,1060
2020-04-28,1043
2020-04-29,1436
2020-04-30,1706
2020-05-01,1490
2020-05-02,1329
2020-05-03,1375
2020-05-04,1298
2020-05-05,1287
2020-05-06,1425
2020-05-07,1731
2020-05-08,1119
2020-05-09,870
2020-05-10,1155
2020-05-11,1302
2020-05-12,1011
2020-05-13,820
2020-05-14,843
2020-05-15,2191
2020-05-16,1950
2020-05-17,2013
2020-05-18,2044
2020-05-19,1855
2020-05-20,1856
2020-05-21,1949
2020-05-22,2212
2020-05-23,1953
2020-05-24,1976
2020-05-25,2144
2020-05-26,1992
2020-05-27,1934
2020-05-28,1922
2020-05-29,1280
2020-05-30,1160
2020-05-31,1160
2020-06-01,1167
2020-06-02,1601
2020-06-03,1268
2020-06-04,1207
2020-06-05,1918
2020-06-06,1716
2020-06-07,1744
2020-06-08,1766
2020-06-09,1785
2020-06-10,1785
2020-06-11,1940
2020-06-12,2114
2020-06-13,1803
2020-06-14,1787
2020-06-15,2018
2020-06-16,1952
2020-06-17,1863
2020-06-18,1783
2020-06-19,1831
2020-06-20,1696
2020-06-21,1641
2020-06-22,1842
2020-06-23,1911
2020-06-24,1862
2020-06-25,1838
2020-06-26,1952
2020-06-27,1843
2020-06-28,1917
2020-06-29,1863
2020-06-30,1866
2020-07-01,1848
2020-07-02,1818
2020-07-03,1839
2020-07-04,1690
2020-07-05,1701
2020-07-06,1826
2020-07-07,1838
2020-07-08,1926
2020-07-09,1878
2020-07-10,915
2020-07-11,799
2020-07-12,805
2020-07-13,839
2020-07-14,892
2020-07-15,1026
2020-07-16,1231
2020-07-17,234
2020-07-18,271
2020-07-19,174
2020-07-20,166
2020-07-21,181
2020-07-22,178
2020-07-23,198
2020-07-24,701
2020-07-25,711
2020-07-26,840
2020-07-27,1225
2020-07-28,1297
2020-07-29,1050
2020-07-30,934
2020-07-31,1419
2020-08-01,1672
2020-08-02,1763
2020-08-03,1457
2020-08-04,1323
2020-08-05,1352
2020-08-06,1453
2020-08-07,1989
2020-08-08,1760
2020-08-09,1718
2020-08-10,1964
2020-08-11,1892
2020-08-12,1757
2020-08-13,1711
2020-08-14,1618
2020-08-15,1481
2020-08-16,1474
2020-08-17,1744
2020-08-18,1737
2020-08-19,1562
2020-08-20,1451
2020-08-21,2034
2020-08-22,1906
2020-08-23,1801
2020-08-24,1874
2020-08-25,1918
2020-08-26,1862
2020-08-27,1834
2020-08-28,1550
2020-08-29,1354
2020-08-30,1378
2020-08-31,1431
2020-09-01,1583
2020-09-02,1607
2020-09-03,1750
2020-09-04,2120
2020-09-05,1806
2020-09-06,1690
2020-09-07,1667
2020-09-08,1673
2020-09-09,1602
2020-09-10,1515
2020-09-11,1865
2020-09-12,1735
2020-09-13,1764
2020-09-14,1814
2020-09-15,1902
2020-09-16,1925
2020-09-17,1843
2020-09-18,1997
2020-09-19,1826
2020-09-20,1827
2020-09-21,1985
2020-09-22,1925
2020-09-23,1868
2020-09-24,1863
2020-09-25,2025
2020-09-26,1836
2020-09-27,1782
2020-09-28,1940
2020-09-29,1926
2020-09-30,1801
2020-10-01,1854
2020-10-02,2050
2020-10-03,1766
2020-10-04,1721
2020-10-05,1850
2020-10-06,1875
2020-10-07,1814
2020-10-08,1913
2020-10-09,1851
2020-10-10,1832
2020-10-11,1704
2020-10-12,1852
2020-10-13,1805
2020-10-14,1748
2020-10-15,1802
2020-10-16,938
2020-10-17,758
2020-10-18,778
2020-10-19,870
2020-10-20,996
2020-10-21,1487
2020-10-22,1603
2020-10-23,1783
2020-10-24,1492
2020-10-25,1504
2020-10-26,1568
2020-10-27,1818
2020-10-28,1933
2020-10-29,1646
2020-10-30,1187
2020-10-31,1159
2020-11-01,1111
2020-11-02,1132
2020-11-03,1069
2020-11-04,1033
2020-11-05,1558
2020-11-06,2053
2020-11-07,1536
2020-11-08,1419
2020-11-09,1525
2020-11-10,1328
2020-11-11,1376
2020-11-12,1539
2020-11-13,1227
2020-11-14,957
2020-11-15,878
2020-11-16,1094
2020-11-17,1498
2020-11-18,1843
2020-11-19,1433
2020-11-20,1336
2020-11-21,1306
2020-11-22,1176
2020-11-23,1174
2020-11-24,1560
